"","X.1","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"12",2000,"PAN-450389",8018069,1,2,"Under Assessment","Development Application","Unknown","Ku-ring-gai Council","Dwelling house-Erection of a new structure-Residential Accommodation","11 GLEN ROAD ROSEVILLE 2069",151.16966743,-33.789722582,"11","GLEN","ROAD","ROSEVILLE",2069,"New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-07-19",NA,2024-08-30,"2024-08-02T00:00:00","N",NA,NA
"13",2001,"PAN-451380",5200402.78,12,NA,"Additional Information Requested","Development Application","Unknown","Port Stephens Council","Seniors housing-Independent living units-Erection of a new structure-Residential Accommodation","23 SOLDIERS POINT ROAD SOLDIERS POINT 2317",152.065480756,-32.702751989,"23","SOLDIERS POINT","ROAD","SOLDIERS POINT",2317,"New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-07-30",NA,2024-08-21,"2024-08-07T00:00:00","N",NA,NA
"14",2071,"PAN-446027",23404267,25,NA,"Additional Information Requested","Development Application","Unknown","Council of the City of Sydney","Demolition-Residential flat building-Erection of a new structure-Residential Accommodation","11 117 VICTORIA STREET POTTS POINT 2011",151.222518712,-33.871368823,"117","VICTORIA","STREET","POTTS POINT",2011,"New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-07-01",NA,2024-08-21,"2024-07-24T00:00:00","N",NA,NA
"15",2099,"PAN-447756",260915659,229,NA,"Under Assessment","Development Application","Unknown","The Hills Shire Council","Demolition-Seniors housing-Independent living units-Erection of a new structure","346-350 OLD NORTHERN ROAD CASTLE HILL 2154",151.017071428,-33.727570945,"346","OLD NORTHERN","ROAD","CASTLE HILL",2154,"New South Wales","350",NA,NA,"N","Y",NA,NA,"2024-07-23",NA,2024-08-19,"2024-07-29T00:00:00","N",NA,NA
"16",2100,"PAN-448119",141189920.25,217,NA,"Additional Information Requested","Development Application","Unknown","The Hills Shire Council","Demolition-Seniors housing-Independent living units-Erection of a new structure","7 CADMAN CRESCENT CASTLE HILL 2154",150.991445606,-33.731273444,"7","CADMAN","CRESCENT","CASTLE HILL",2154,"New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-08-01",NA,2024-08-26,"2024-08-05T00:00:00","N",NA,NA
"17",2101,"PAN-454883",130922276.61,214,NA,"Under Assessment","Development Application","Unknown","Bayside Council","Residential flat building-Erection of a new structure-Earthworks, retaining walls and structural support-Retail Premise","2 TINGWELL BOULEVARD EASTGARDENS 2036",151.226645262,-33.941806871,"2","TINGWELL","BOULEVARD","EASTGARDENS",2036,"New South Wales",NA,NA,NA,NA,NA,NA,NA,"2024-08-01",NA,2024-09-13,"2024-08-09T00:00:00","N",NA,NA
"18",2113,"PAN-444415",12375620,42,2,"Under Assessment","Development Application","Unknown","Queanbeyan-Palerang Regional Council","Multi-dwelling housing-Erection of a new structure","270 GLENROCK DRIVE GOOGONG 2620",149.224941112,-35.43574279,"270","GLENROCK","DRIVE","GOOGONG",2620,"New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-07-26",NA,2024-08-27,"2024-08-08T00:00:00","N",NA,NA
"19",2115,"PAN-446082",304040785,574,14,"Under Assessment","Development Application","Unknown","Council of the City of Sydney","Residential flat building-Shop top housing-Restaurant or cafe-Erection of a new structure-Footpaths - outdoor dining-Outdoor dining - general-Retail Premise-Food and drink premise-Take away food and drink","130 JOYNTON AVENUE ZETLAND 2017",151.210131846,-33.908842146,"130","JOYNTON","AVENUE","ZETLAND",2017,"New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-07-09",NA,2024-08-14,"2024-07-17T00:00:00","N",NA,NA
"20",2116,"PAN-449090",25562330,95,22,"On Exhibition","Development Application","Unknown","Cumberland Council","Residential flat building-Shop top housing-Erection of a new structure","4 TERMINAL PLACE MERRYLANDS 2160",150.99316793,-33.835533545,"4","TERMINAL","PLACE","MERRYLANDS",2160,"New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-07-29",NA,2024-08-22,"2024-08-08T00:00:00","N",NA,NA
"21",2117,"PAN-450157",21887564,186,11,"Additional Information Requested","Development Application","Unknown","Willoughby City Council","Residential flat building-Erection of a new structure","452 WILLOUGHBY ROAD WILLOUGHBY 2068",151.199234344,-33.812241119,"452","WILLOUGHBY","ROAD","WILLOUGHBY",2068,"New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-07-25",NA,2024-09-03,"2024-08-13T00:00:00","N",NA,NA
"22",2119,"PAN-452365",14670187,1,3,"Under Assessment","Development Application","Unknown","Woollahra Municipal Council","Demolition-Dwelling house-Erection of a new structure","24A DRUMALBYN ROAD BELLEVUE HILL 2023",151.256125767,-33.877318468,"24A","DRUMALBYN","ROAD","BELLEVUE HILL",2023,"New South Wales",NA,NA,NA,"N","N",NA,NA,"2024-07-24",NA,2024-08-29,"2024-08-14T00:00:00","N",NA,NA
"23",2121,"PAN-455919",8757159,0,NA,"Under Assessment","Development Application","Unknown","North Sydney Council","Residential flat building-Alterations or additions to an existing building or structure","48-50 ALFRED STREET SOUTH MILSONS POINT 2061",151.211069887,-33.847363676,"48","ALFRED","STREET","MILSONS POINT",2061,"New South Wales","50","SOUTH",NA,"N","Y",NA,NA,"2024-08-07",NA,2024-09-06,"2024-08-16T00:00:00","N",NA,NA
"24",2163,"PAN-442285",124782800,0,NA,"Under Assessment","Development Application","Unknown","Council of the City of Sydney","Demolition-Residential flat building-Erection of a new structure-Residential Accommodation","23 EVE STREET ERSKINEVILLE 2043",151.185411146,-33.905309621,"23","EVE","STREET","ERSKINEVILLE",2043,"New South Wales",NA,NA,NA,NA,"Y",NA,NA,"2024-08-07",NA,2024-09-04,"2024-08-14T00:00:00","N",NA,NA
"25",2166,"PAN-450139",29787396,15,NA,"Under Assessment","Development Application","Unknown","Woollahra Municipal Council","Residential flat building-Erection of a new structure","1-3 Fullerton Street, Woollahra",151.24120336,-33.885114521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-07-11",NA,2024-08-15,"2024-07-31T00:00:00","N",NA,NA
"26",2168,"PAN-453521",181555000,255,21,"Additional Information Requested","Development Application","Unknown","Ryde City Council","Demolition-Residential flat building-Erection of a new structure-Access ramp-Driveways and hard stand spaces-Earthworks, retaining walls and structural support-Retail Premise","15 COTTONWOOD CRESCENT MACQUARIE PARK 2113",151.118626225,-33.779083383,"15","COTTONWOOD","CRESCENT","MACQUARIE PARK",2113,"New South Wales",NA,NA,NA,"N","Y",NA,NA,"2024-08-05",NA,2024-09-08,"2024-08-07T00:00:00","N",NA,NA
