"","PlanningPortalApplicationNumber","CostOfDevelopment","NumberOfNewDwellings","NumberOfStoreys","ApplicationStatus","ApplicationType","DeterminationAuthority","Council","DevelopmentType","FullAddress","X","Y","StreetNumber1","StreetName","StreetType","Suburb","Postcode","State","StreetNumber2","StreetSuffix","NumberOfExistingLots","AccompaniedByVPAFlag","EPIVariationProposedFlag","SubdivisionProposedFlag","NumberOfProposedLots","LodgementDate","DeterminationDate","AssessmentExhibitionEndDate","AssessmentExhibitionStartDate","DevelopmentSubjectToSICFlag","VariationToDevelopmentStandardsApprovedFlag","ModificationApplicationNumber"
"37","PAN-306521",11568890,40,5,"Cancelled","Development Application","Unknown","North Sydney Council","Residential flat building-Mixed use development-Hotel or motel accommodation","12A CARABELLA STREET KIRRIBILLI 2061","151.21824555","-33.850148271","12A","CARABELLA","STREET","KIRRIBILLI","2061","New South Wales",NA,NA,3,"N","Y","N",4,NA,NA,NA,NA,NA,NA,NA
"38","PAN-40855",5231813,32,3,"Determined","Development Application","Local Planning Panel","Council of the City of Sydney","Boarding house","180-182 CHURCH STREET NEWTOWN 2042","151.179987983247","-33.8921915238185","180","CHURCH","STREET","NEWTOWN","2042","New South Wales",NA,NA,2,"N","Y","N",NA,"2020-10-22","2021-04-07","2020-11-24T00:00:00","2020-11-03T00:00:00","N","Y",NA
"39","PAN-29578",128390000,245,20,"Deferred Commencement","Development Application","Sydney / Regional Planning Panel","Georges River Council","Demolition-Residential flat building-Stratum / community title subdivision-Shop top housing-Mixed use development-Hotel or motel accommodation-Retail premises ","61 FOREST ROAD HURSTVILLE 2220","151.111436781","-33.9661384857","61","FOREST","ROAD","HURSTVILLE","2220","New South Wales",NA,NA,8,"N","Y","Y",3,"2020-09-08","2021-05-27","2020-10-21T00:00:00","2020-09-23T00:00:00","N","Y",NA
"40","PAN-17897",13594375,63,5,"Withdrawn","Development Application","Unknown","Canterbury-Bankstown Council","Boarding house-Garages, carports and car parking spaces-Business premises-Retail premises ","196-198 HALDON STREET LAKEMBA 2195","151.079053463","-33.9239542478","196","HALDON","STREET","LAKEMBA","2195","New South Wales","198",NA,2,"N","N","N",NA,"2020-07-08",NA,NA,NA,NA,NA,NA
"41","PAN-31700",7182936,21,8,"Determined","Development Application","Local Planning Panel","Bayside Council","Shop top housing","114-116 Hattersley St, Banksia","151.1404831","-33.946296586","114","HATTERSLEY","STREET","BANKSIA","2216","New South Wales","116",NA,NA,"N","Y","N",NA,"2020-09-11","2022-11-22","2020-10-14T00:00:00","2020-09-30T00:00:00","Y","N",NA
"42","PAN-43228",6572615,44,4,"Cancelled","Development Application","Unknown","Lane Cove Municipal Council","Boarding house","47A  PENROSE STREET LANE COVE WEST 2066","151.15112075","-33.816435025","47A","PENROSE","STREET","LANE COVE WEST","2066","New South Wales",NA,NA,1,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"43","PAN-3976",7583108,108,1,"Cancelled","Development Application","Unknown","Lake Macquarie City Council","Demolition-Stratum / community title subdivision-Industrial development","10-24 BLUEBELL STREET BELMONT 2280","151.666072014","-33.026872141",NA,NA,NA,NA,NA,NA,NA,NA,1,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"44","PAN-43230",6572615,44,4,"Cancelled","Development Application","Unknown","Lane Cove Municipal Council","Boarding house","47A  PENROSE STREET LANE COVE WEST 2066","151.15112075","-33.816435025","47A","PENROSE","STREET","LANE COVE WEST","2066","New South Wales",NA,NA,1,"N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA
"45","PAN-16524",62982623,196,18,"Determined","Development Application","Sydney / Regional Planning Panel","The Hills Shire Council","Residential flat building","6 GARTHOWEN CRESCENT CASTLE HILL 2154","151.010132175","-33.7297874178","6","GARTHOWEN","CRESCENT","CASTLE HILL","2154","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-06-18","2021-04-01","2020-07-16T00:00:00","2020-06-24T00:00:00","N","Y",NA
"46","PAN-31732",24661410,57,8,"Under Assessment","Development Application","Unknown","Bayside Council","Shop top housing","345 PRINCES HIGHWAY BANKSIA 2216","151.14073191","-33.946048943","345","PRINCES","HIGHWAY","BANKSIA","2216","New South Wales",NA,NA,NA,"N","Y","N",NA,"2020-09-09",NA,"2020-10-15T00:00:00","2020-09-30T00:00:00","Y",NA,NA
"47","PAN-3636",13500000,1,2,"Determined","Development Application","Council","Lake Macquarie City Council","Dwelling-Demolition-Subdivision of land","137 THE BOULEVARDE TORONTO 2283","151.588275722","-33.0122536887","137","THE BOULEVARDE",NA,"TORONTO","2283","New South Wales",NA,NA,1,"N","N","Y",5,"2019-08-27","2020-01-30","2019-09-24T00:00:00","2019-09-03T00:00:00","N","N",NA
"48","PAN-1794",6586746,18,5,"Determined","Development Application","Local Planning Panel","Sutherland Shire Council","Residential flat building","87 WILLARONG ROAD CARINGBAH 2229","151.121119565","-34.0344430525","87","WILLARONG","ROAD","CARINGBAH","2229","New South Wales",NA,NA,1,"N","Y","Y",18,"2019-06-11","2020-06-16","2019-07-12T00:00:00","2019-06-27T00:00:00","N","Y",NA
"49","PAN-20795",5638660,5,4,"Determined","Development Application","Local Planning Panel","Council of the City of Sydney","Shop top housing","33 SOPHIA STREET SURRY HILLS 2010","151.211545584","-33.8853644492","33","SOPHIA","STREET","SURRY HILLS","2010","New South Wales",NA,NA,3,"N","Y","Y",1,"2020-08-11","2021-03-26","2020-09-02T00:00:00","2020-08-12T00:00:00","N","Y",NA
"50","PAN-27337",5555349,28,2,"Determined","Development Application","Council","Newcastle City Council","Multi-dwelling housing","10 MARTON STREET SHORTLAND 2307","151.695032571","-32.8785657367","10","MARTON","STREET","SHORTLAND","2307","New South Wales",NA,NA,1,"N","N","Y",28,"2020-08-18","2021-08-13","2020-09-08T00:00:00","2020-08-25T00:00:00","N",NA,NA
"51","PAN-3979",7750000,72,NA,"Determined","Development Application","Land and Environment Court","Sutherland Shire Council","Boarding house","465 PRESIDENT AVENUE KIRRAWEE 2232","151.068376951","-34.035030858","465","PRESIDENT","AVENUE","KIRRAWEE","2232","New South Wales",NA,NA,NA,"N","N","N",NA,"2019-09-19","2020-10-16","2019-10-21T00:00:00","2019-10-04T00:00:00","N",NA,NA
"52","PAN-118934",10277566,17,2,"Withdrawn","Development Application","Unknown","The Hills Shire Council","Multi-dwelling housing","259 HEZLETT ROAD NORTH KELLYVILLE 2155","150.954028468","-33.686079828","259","HEZLETT","ROAD","NORTH KELLYVILLE","2155","New South Wales",NA,NA,NA,"N","N","N",17,"2021-08-12",NA,NA,NA,NA,NA,NA
"53","PAN-23587",34455544,2,NA,"Cancelled","Development Application","Unknown","Inner West Council","Secondary dwelling","46 SMITH STREET TEMPE 2044","151.162550896","-33.923875278","46","SMITH","STREET","TEMPE","2044","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","PAN-35274",10650000,14,5,"Determined","Development Application","Local Planning Panel","Willoughby City Council","Shop top housing","131 SAILORS BAY ROAD NORTHBRIDGE 2063","151.210105178","-33.810398132","131","SAILORS BAY","ROAD","NORTHBRIDGE","2063","New South Wales",NA,NA,1,"N","Y","N",15,"2020-10-01","2021-06-29","2020-11-16T00:00:00","2020-10-26T00:00:00","Y","Y",NA
"55","PAN-43289",8944312,27,6,"Withdrawn","Development Application","Unknown","Cumberland Council","Demolition-Residential flat building-Earthworks / change in levels-Garages, carports and car parking spaces","26 PARK ROAD AUBURN 2144","151.03044454","-33.852147592","26","PARK","ROAD","AUBURN","2144","New South Wales",NA,NA,2,"N","Y","N",NA,"2020-11-17",NA,NA,NA,"N",NA,NA
"56","PAN-15279",14504490,51,NA,"Cancelled","Development Application","Unknown","Georges River Council","Shop top housing","21 HOGBEN STREET KOGARAH 2217","151.135479336","-33.964942742","21","HOGBEN","STREET","KOGARAH","2217","New South Wales",NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","PAN-18039",9100000,38,6,"Determined","Development Application","Local Planning Panel","Penrith City Council","Residential flat building","26 HOPE STREET PENRITH 2750","150.708842452","-33.7595433846","26","HOPE","STREET","PENRITH","2750","New South Wales",NA,NA,NA,"N","Y","N",NA,"2020-06-23","2021-03-25","2020-07-20T00:00:00","2020-07-06T00:00:00","N","Y",NA
"58","PAN-18049",5100000,15,2,"Determined","Development Application","Council","Sutherland Shire Council","Demolition-Multi-dwelling housing","15 BELMONT STREET SUTHERLAND 2232","151.061911627","-34.0278281464","15","BELMONT","STREET","SUTHERLAND","2232","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-06-25","2020-10-28","2020-07-28T00:00:00","2020-07-06T00:00:00","N","N",NA
"59","PAN-45669",25833457.28,85,4,"Deferred Commencement","Development Application","Local Planning Panel","Council of the City of Sydney","Shop top housing","21 COLLINS STREET ALEXANDRIA 2015","151.198203676","-33.911408617","21","COLLINS","STREET","ALEXANDRIA","2015","New South Wales",NA,NA,1,"Y","N","N",NA,"2020-11-05","2022-02-11","2021-02-01T00:00:00","2020-12-21T00:00:00","N",NA,NA
"60","PAN-34156",6597530,1,2,"Determined","Development Application","Local Planning Panel","Willoughby City Council","Dwelling","273 EDINBURGH ROAD CASTLECRAG 2068","151.225958674","-33.798434011","273","EDINBURGH","ROAD","CASTLECRAG","2068","New South Wales",NA,NA,NA,"N","Y","N",NA,"2020-09-23","2021-03-18","2020-10-26T00:00:00","2020-10-12T00:00:00","N","Y",NA
"61","PAN-124288",15355000,58,5,"Determined","Development Application","Local Planning Panel","Lane Cove Municipal Council","Demolition-Residential flat building","28 MINDARIE STREET LANE COVE NORTH 2066","151.154861314","-33.805500992","28","MINDARIE","STREET","LANE COVE NORTH","2066","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-08-18","2022-04-05","2021-09-04T00:00:00","2021-08-19T00:00:00","N","Y",NA
"62","PAN-34177",14517495,42,NA,"Determined","Development Application","Council","Liverpool City Council","Industrial development-Garages, carports and car parking spaces","61 GOVERNOR MACQUARIE DRIVE CHIPPING NORTON 2170","150.962819237","-33.920719859","61","GOVERNOR MACQUARIE","DRIVE","CHIPPING NORTON","2170","New South Wales",NA,NA,NA,"N","N","Y",42,"2020-10-21","2021-07-15","2021-01-27T00:00:00","2021-01-13T00:00:00","N",NA,NA
"63","PAN-121812",7790202,31,4,"Determined","Development Application","Local Planning Panel","Cumberland Council","Demolition-Residential flat building","10 PATRICIA STREET MAYS HILL 2145","150.987614095","-33.820383276","10","PATRICIA","STREET","MAYS HILL","2145","New South Wales",NA,NA,NA,"N","N","Y",31,"2021-08-18","2022-04-27","2021-10-08T00:00:00","2021-09-17T00:00:00","N","Y",NA
"64","PAN-22321",40979800,1,2,"Determined","Development Application","Council","Campbelltown City Council","Dwelling","97 FARVIEW DRIVE DENHAM COURT 2565","150.82002113312","-33.9870338811185","97","FARVIEW","DRIVE","DENHAM COURT","2565","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-07-22","2020-09-17","2020-08-18T00:00:00","2020-07-27T00:00:00","N","N",NA
"65","PAN-111008",11896353,34,6,"Determined","Development Application","Land and Environment Court","Council of the City of Sydney","Residential flat building","21 DUNNING AVENUE ROSEBERY 2018","151.204156764","-33.911866829","21","DUNNING","AVENUE","ROSEBERY","2018","New South Wales",NA,NA,NA,"Y","N","N",NA,"2021-06-23","2022-01-07","2021-07-26T00:00:00","2021-07-05T00:00:00","N",NA,NA
"66","PAN-46962",31311467,64,3,"Withdrawn","Development Application","Unknown","Northern Beaches Council","Residential flat building","8 FOREST ROAD WARRIEWOOD 2102","151.283972239","-33.681209543","8","FOREST","ROAD","WARRIEWOOD","2102","New South Wales",NA,NA,NA,"N","Y","N",NA,"2021-02-04",NA,"2021-03-14T00:00:00","2021-02-12T00:00:00","N",NA,NA
"67","PAN-129742",5600000,2,1,"Determined","Development Application","Council","Wagga Wagga City Council","Dual occupancy-Subdivision of land","7 HAROLD CRESCENT GOBBAGOMBALIN 2650","147.338875948","-35.069922523","7","HAROLD","CRESCENT","GOBBAGOMBALIN","2650","New South Wales",NA,NA,0,"N","N","Y",3,"2021-08-19","2021-11-01",NA,NA,"N",NA,NA
"68","PAN-101948",6000000,27,NA,"Determined","Development Application","Council","Lake Macquarie City Council","Demolition-Residential flat building-Subdivision of land-Mixed use development","11 LAKE ROAD SWANSEA 2281","151.636424233","-33.089107122","11","LAKE","ROAD","SWANSEA","2281","New South Wales",NA,NA,NA,"N","Y","Y",27,"2021-06-07","2022-03-28","2021-06-29T00:00:00","2021-06-08T00:00:00","N","Y",NA
"69","PAN-35470",6589000,22,NA,"Withdrawn","Development Application","Unknown","Camden Council","Multi-dwelling housing","42 MACQUARIE AVENUE CAMDEN 2570","150.694021593","-34.066086401","42","MACQUARIE","AVENUE","CAMDEN","2570","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-09-23",NA,"2020-10-19T00:00:00","2020-10-05T00:00:00","N",NA,NA
"70","PAN-127220",510158000,1,2,"Determined","Development Application","Council","Woollahra Municipal Council","Semi-attached dwelling-Alterations and additions to residential development","21 GLENVIEW STREET PADDINGTON 2021","151.225253772","-33.880213428","21","GLENVIEW","STREET","PADDINGTON","2021","New South Wales",NA,NA,1,"N","N","N",NA,"2021-08-02","2021-11-24","2021-09-09T00:00:00","2021-08-25T00:00:00","N",NA,NA
"71","PAN-45850",5449631,17,3,"Determined","Development Application","Council","Central Coast Council","Residential flat building","220 TERRIGAL DRIVE TERRIGAL 2260","151.436588752","-33.440476485","220","TERRIGAL","DRIVE","TERRIGAL","2260","New South Wales",NA,NA,2,"N","Y","N",NA,"2021-01-11","2021-12-17","2021-02-22T00:00:00","2021-01-22T00:00:00","N","Y",NA
"72","PAN-48452",5093606.98,22,3,"Determined","Development Application","Council","Canterbury-Bankstown Council","Demolition-Residential flat building","18 LOFTUS STREET CAMPSIE 2194","151.097092972","-33.913699808","18","LOFTUS","STREET","CAMPSIE","2194","New South Wales",NA,NA,NA,"N","N","N",NA,"2020-11-27","2021-11-19","2021-01-27T00:00:00","2020-12-16T00:00:00","N",NA,NA
"73","PAN-21116",5600000,14,3,"Withdrawn","Development Application","Unknown","Byron Shire Council","Demolition-Multi-dwelling housing","103 PATERSON STREET BYRON BAY 2481","153.617995421","-28.6558369241","103","PATERSON","STREET","BYRON BAY","2481","New South Wales",NA,NA,1,"N","N","N",NA,NA,NA,NA,NA,NA,NA,NA
"74","PAN-124684",210231700,674,8,"Rejected","Development Application","Unknown","Liverpool City Council","Residential flat building-Shop top housing-Mixed use development","164 CROATIA AVENUE EDMONDSON PARK 2174","150.861726153","-33.967689105","164","CROATIA","AVENUE","EDMONDSON PARK","2174","New South Wales",NA,NA,2,"N","Y","Y",6,NA,NA,NA,NA,NA,NA,NA
"75","PAN-124684",210231700,674,8,"Rejected","Development Application","Unknown","Liverpool City Council","Residential flat building-Shop top housing-Mixed use development","164 CROATIA AVENUE EDMONDSON PARK 2174","150.861726153","-33.967689105","164","CROATIA","AVENUE","EDMONDSON PARK","2174","New South Wales",NA,NA,2,"N","Y","Y",6,NA,NA,NA,NA,NA,NA,NA
